issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cn_m5.00_a2,5.00,2.0,2.931533,<50.0,pass,CN at M=5.00 AoA=2
G07,sbli_m5.00_a2,5.00,2.0,24.000000,>0.1,pass,|M^2-1| at M=5.00
G08,press_m5.00_a2,5.00,2.0,0.359493,<2.0,pass,Pressure CD at M=5.00
G04,cd_m5.00_a5,5.00,5.0,0.529958,<2.0,pass,CD at M=5.00 AoA=5
G04,cn_m5.00_a5,5.00,5.0,3.022457,<50.0,pass,CN at M=5.00 AoA=5
G07,sbli_m5.00_a5,5.00,5.0,24.000000,>0.1,pass,|M^2-1| at M=5.00
G08,press_m5.00_a5,5.00,5.0,0.359493,<2.0,pass,Pressure CD at M=5.00
G04,cd_m5.00_a10,5.00,10.0,0.604514,<2.0,pass,CD at M=5.00 AoA=10
G04,cn_m5.00_a10,5.00,10.0,3.218530,<50.0,pass,CN at M=5.00 AoA=10
G07,sbli_m5.00_a10,5.00,10.0,24.000000,>0.1,pass,|M^2-1| at M=5.00
G08,press_m5.00_a10,5.00,10.0,0.359493,<2.0,pass,Pressure CD at M=5.00
